customer_id,signup_date,gender,city,channel,is_premium,age
CUST-00001,2023-04-25,F,Santa Marta,social_media,0,39
CUST-00002,2023-01-26,F,Barranquilla,presencial,0,33
CUST-00003,2023-10-09,M,Santa Marta,social_media,0,41
CUST-00004,2023-09-08,M,Cúcuta,social_media,0,50
CUST-00005,2023-08-17,M,Bogotá,social_media,1,32
CUST-00006,2023-05-23,F,Cartagena,presencial,1,32
CUST-00007,2023-04-15,F,Bogotá,online,0,50
CUST-00008,2024-07-12,M,Barranquilla,presencial,0,42
CUST-00009,2023-03-31,F,Cartagena,social_media,0,30
CUST-00010,2024-08-27,M,Cali,social_media,0,40
CUST-00011,2024-03-08,M,Medellín,online,1,30
CUST-00012,2023-02-02,F,Bucaramanga,social_media,0,30
CUST-00013,2023-01-31,F,Cali,online,0,37
CUST-00014,2023-04-06,F,Cúcuta,social_media,0,18
CUST-00015,2023-08-12,F,Bogotá,social_media,1,18
CUST-00016,2023-08-27,M,Cartagena,presencial,1,29
CUST-00017,2024-06-01,F,Medellín,presencial,0,24
CUST-00018,2023-01-28,F,Medellín,online,0,38
CUST-00019,2024-07-28,F,Barranquilla,presencial,1,25
CUST-00020,2023-07-23,F,Barranquilla,online,0,20
CUST-00021,2024-07-12,M,Barranquilla,presencial,0,49
CUST-00022,2024-03-05,M,Pereira,online,1,32
CUST-00023,2023-08-14,F,Bogotá,social_media,0,35
CUST-00024,2024-04-04,F,Manizales,online,0,20
CUST-00025,2024-08-26,M,Cúcuta,presencial,1,29
CUST-00026,2023-10-12,M,Santa Marta,online,0,36
CUST-00027,2023-01-07,F,Cúcuta,presencial,0,23
CUST-00028,2023-06-13,M,Bucaramanga,social_media,0,38
CUST-00029,2024-03-08,M,Barranquilla,presencial,1,28
CUST-00030,2023-12-15,M,Bucaramanga,social_media,0,32
CUST-00031,2023-10-12,M,Cúcuta,social_media,1,28
CUST-00032,2023-06-09,F,Pereira,presencial,0,53
CUST-00033,2023-08-09,M,Bucaramanga,social_media,0,34
CUST-00034,2023-12-11,M,Bogotá,presencial,0,24
CUST-00035,2023-04-15,F,Cartagena,online,1,43
CUST-00036,2023-04-05,F,Manizales,social_media,0,22
CUST-00037,2024-01-25,F,Manizales,online,1,37
CUST-00038,2023-04-10,M,Cúcuta,online,0,18
CUST-00039,2024-01-03,F,Santa Marta,presencial,1,21
CUST-00040,2023-12-19,M,Barranquilla,presencial,0,36
CUST-00041,2023-09-28,F,Cúcuta,social_media,0,42
CUST-00042,2023-02-14,M,Bucaramanga,presencial,0,36
CUST-00043,2024-04-15,F,Pereira,online,0,33
CUST-00044,2024-07-03,F,Cartagena,online,0,31
CUST-00045,2023-05-08,M,Manizales,online,0,20
CUST-00046,2024-01-23,F,Cali,social_media,0,27
CUST-00047,2023-03-22,F,Manizales,presencial,0,30
CUST-00048,2024-07-19,F,Cartagena,online,0,45
CUST-00049,2023-10-28,F,Bogotá,social_media,0,38
CUST-00050,2024-01-06,F,Bucaramanga,presencial,1,18
CUST-00051,2024-08-14,M,Medellín,presencial,0,38
CUST-00052,2023-07-16,M,Pereira,online,1,31
CUST-00053,2023-03-13,F,Santa Marta,social_media,0,28
CUST-00054,2023-02-16,F,Cali,online,0,41
CUST-00055,2023-08-22,M,Cúcuta,online,0,45
CUST-00056,2023-10-24,M,Barranquilla,social_media,0,44
CUST-00057,2023-03-23,F,Barranquilla,online,0,26
CUST-00058,2023-08-27,M,Barranquilla,social_media,0,31
CUST-00059,2023-04-14,F,Cali,social_media,0,38
CUST-00060,2024-01-25,F,Cartagena,online,0,44
CUST-00061,2023-10-12,F,Santa Marta,online,1,30
CUST-00062,2024-04-09,F,Manizales,presencial,0,33
CUST-00063,2024-01-09,M,Cúcuta,presencial,0,23
CUST-00064,2023-06-16,M,Medellín,social_media,0,23
CUST-00065,2024-01-15,M,Santa Marta,social_media,1,43
CUST-00066,2023-12-30,F,Cúcuta,social_media,0,48
CUST-00067,2023-08-03,M,Medellín,presencial,0,34
CUST-00068,2023-10-01,F,Pereira,online,0,45
CUST-00069,2023-03-15,F,Cartagena,online,0,38
CUST-00070,2023-06-25,M,Pereira,presencial,1,28
CUST-00071,2024-06-30,F,Cartagena,online,0,38
CUST-00072,2023-09-08,F,Bucaramanga,online,1,50
CUST-00073,2023-06-17,F,Manizales,online,1,34
CUST-00074,2024-04-18,M,Bogotá,presencial,0,50
CUST-00075,2024-01-24,F,Bogotá,social_media,0,18
CUST-00076,2023-10-04,M,Cartagena,online,1,43
CUST-00077,2024-07-24,F,Bogotá,online,0,35
CUST-00078,2023-08-13,M,Cali,social_media,1,32
CUST-00079,2023-11-29,F,Cúcuta,online,1,35
CUST-00080,2023-02-27,M,Santa Marta,online,1,18
CUST-00081,2023-08-23,M,Pereira,social_media,1,32
CUST-00082,2023-02-02,F,Bucaramanga,presencial,1,38
CUST-00083,2023-11-20,F,Manizales,presencial,0,49
CUST-00084,2024-02-15,F,Manizales,online,0,29
CUST-00085,2023-10-02,F,Bucaramanga,online,0,26
CUST-00086,2023-03-09,M,Barranquilla,social_media,1,29
CUST-00087,2023-08-05,F,Barranquilla,social_media,1,44
CUST-00088,2024-08-03,M,Barranquilla,online,0,38
CUST-00089,2023-11-19,F,Bucaramanga,online,0,29
CUST-00090,2023-08-06,M,Bogotá,presencial,0,40
CUST-00091,2024-05-26,M,Medellín,presencial,1,35
CUST-00092,2024-02-10,M,Bucaramanga,presencial,0,44
CUST-00093,2024-04-14,F,Bogotá,presencial,0,27
CUST-00094,2023-05-27,F,Santa Marta,social_media,1,31
CUST-00095,2023-09-29,M,Bucaramanga,presencial,0,31
CUST-00096,2023-05-23,M,Pereira,presencial,1,20
CUST-00097,2023-09-10,M,Bogotá,online,1,37
CUST-00098,2024-07-28,M,Manizales,presencial,1,37
CUST-00099,2024-07-05,M,Cartagena,online,0,35
CUST-00100,2023-09-27,F,Cartagena,online,0,32
CUST-00101,2024-08-21,M,Bucaramanga,presencial,1,20
CUST-00102,2024-03-14,F,Pereira,presencial,0,30
CUST-00103,2024-08-20,F,Pereira,online,0,31
CUST-00104,2024-02-13,F,Cartagena,social_media,1,26
CUST-00105,2024-01-06,M,Bogotá,online,0,33
CUST-00106,2023-08-13,M,Santa Marta,social_media,0,39
CUST-00107,2023-05-22,M,Bucaramanga,social_media,0,53
CUST-00108,2024-06-05,M,Santa Marta,presencial,1,36
CUST-00109,2024-05-20,F,Barranquilla,presencial,1,37
CUST-00110,2023-04-04,F,Medellín,presencial,0,34
CUST-00111,2023-02-18,F,Cali,presencial,0,18
CUST-00112,2023-04-23,M,Barranquilla,online,0,34
CUST-00113,2023-06-06,M,Cúcuta,social_media,0,35
CUST-00114,2023-06-13,M,Manizales,online,0,59
CUST-00115,2024-03-08,M,Cali,social_media,0,33
CUST-00116,2023-03-07,M,Manizales,online,0,38
CUST-00117,2024-01-30,M,Bucaramanga,social_media,0,34
CUST-00118,2024-01-26,F,Barranquilla,presencial,1,23
CUST-00119,2024-04-24,F,Pereira,social_media,0,46
CUST-00120,2024-06-25,M,Cartagena,presencial,1,42
CUST-00121,2023-09-15,F,Cartagena,social_media,1,42
CUST-00122,2024-07-20,F,Santa Marta,online,0,25
CUST-00123,2023-01-12,F,Cali,social_media,0,49
CUST-00124,2023-04-28,F,Cúcuta,online,1,20
CUST-00125,2024-07-03,M,Barranquilla,online,1,40
CUST-00126,2023-10-01,F,Cartagena,presencial,0,56
CUST-00127,2023-12-15,M,Bogotá,social_media,0,25
CUST-00128,2023-04-25,M,Pereira,online,0,29
CUST-00129,2023-10-28,F,Manizales,social_media,0,35
CUST-00130,2024-03-21,M,Bucaramanga,presencial,0,29
CUST-00131,2023-06-11,F,Santa Marta,presencial,0,19
CUST-00132,2024-04-09,M,Cali,social_media,0,35
CUST-00133,2023-01-04,M,Medellín,online,0,24
CUST-00134,2023-09-27,F,Cartagena,online,1,39
CUST-00135,2024-05-27,F,Santa Marta,online,1,25
CUST-00136,2023-07-02,M,Bogotá,social_media,1,50
CUST-00137,2024-06-03,F,Bogotá,online,0,27
CUST-00138,2023-04-19,M,Cúcuta,online,0,31
CUST-00139,2023-11-02,F,Cali,online,1,43
CUST-00140,2024-06-03,M,Cúcuta,presencial,0,22
CUST-00141,2023-07-23,M,Cali,online,0,37
CUST-00142,2023-06-06,M,Cartagena,social_media,0,48
CUST-00143,2024-01-18,M,Barranquilla,social_media,1,18
CUST-00144,2023-06-15,M,Bucaramanga,online,0,36
CUST-00145,2024-07-06,F,Manizales,social_media,0,37
CUST-00146,2024-06-27,M,Manizales,social_media,0,42
CUST-00147,2023-01-01,F,Barranquilla,online,1,22
CUST-00148,2023-11-28,F,Bogotá,presencial,0,21
CUST-00149,2024-05-15,M,Pereira,online,0,40
CUST-00150,2023-01-20,M,Bucaramanga,social_media,0,37
CUST-00151,2023-04-25,F,Cartagena,social_media,0,37
CUST-00152,2024-01-07,M,Barranquilla,online,0,38
CUST-00153,2023-11-11,M,Bucaramanga,social_media,0,28
CUST-00154,2023-09-03,F,Manizales,presencial,1,37
CUST-00155,2023-03-01,F,Bucaramanga,online,1,37
CUST-00156,2023-09-04,F,Cali,social_media,0,27
